comment_id,guide_id,review_text,rating,created_utc,processed_body,bobot_komentar_raw,Final_Sentiment_Score
67a65dd9dca2434b8f0b39edda9a87c0,f048a6c1,awesome Fear myself role home art second.,5,2025-01-06 21:35:53+00:00,awesome fear role home art second,0.02,0.42000000000000004
aec261ec02bf436d9d1fc94caf88dd6e,204a0f9d,Authority rich final war let money month evening science.,3,2025-03-07 12:52:18+00:00,authority rich final war let money month evening science,0.0,0.24
d606ccd9755f45b687c2232b8b1121a6,7c6c27d8,broken Kind even begin general air once agree amount PM. absolutely terrible,2,2025-06-29 21:36:22+00:00,broken kind even begin general air agree amount pm absolutely terrible,-0.030000000000000002,0.13
b266338f14cc499dbb15e060a08e5391,468cad57,appreciate Paper all wait woman his place. Best guide ever,4,2025-02-27 00:54:28+00:00,appreciate paper wait woman place best guide ever,0.16999999999999998,0.49
9b70d611318a4869adab1d52fd48f94b,d1a29087,cool Voice reason same age offer name notice one best.,5,2025-07-27 04:53:05+00:00,cool voice reason age offer name notice one best,0.02,0.42000000000000004
94344c8d6b40432e9d068c7b5806894c,94f59b31,generous Program fish power yet woman all before model race attorney.,5,2025-10-06 06:17:35+00:00,generous program fish power yet woman model race attorney,0.02,0.42000000000000004
0aab56ef1d504bbc90ec095c5fd1a19f,ce31a40b,cool As test data international long tend beat serve agency case.,5,2025-04-05 06:53:45+00:00,cool test data international long tend beat serve agency case,0.02,0.42000000000000004
181cd39b951143f0a3d9f41b66d8ce9f,4f0770f5,incredible Poor national team drive model affect assume against individual. not bad,4,2025-07-22 19:31:10+00:00,incredible poor national team drive model affect assume individual bad,0.060000000000000005,0.38
ba87517546634a92878c51c0ca4254f7,ce31a40b,unreliable Ask system tell north show table. absolutely terrible,2,2025-10-06 07:16:36+00:00,unreliable ask system tell north show table absolutely terrible,-0.05,0.11
b7f1438641304e378cca02c10a5f0375,bc3a1689,delightful Across letter main appear although to top cut.,5,2025-01-12 05:20:08+00:00,delightful across letter main appear although top cut,0.04,0.44
612fb0406a864ddfa252405f7cb102ea,468cad57,pleasant Really agreement fire next light travel simple get defense over middle.,4,2025-02-02 23:15:31+00:00,pleasant really agreement fire next light travel simple get defense middle,0.02,0.34
1830591b5ea240c1b9f3da0d42443c50,9fbcef49,fantabulous Generation animal high week hour follow.,4,2025-07-04 11:14:58+00:00,fantabulous generation animal high week hour follow,0.02,0.34
50e142923de94f079b1e4b167dd2f92a,ce31a40b,positive For forget customer lose tree attorney if artist media else effect tough.,5,2025-04-28 03:35:15+00:00,positive forget customer lose tree attorney artist media else effect tough,0.02,0.42000000000000004
12e272aeb9dd49e4b709bea2c66575a0,63999a8d,super Cultural test beautiful increase candidate response three shake quite pick keep return.,5,2025-03-09 17:19:45+00:00,super cultural test beautiful increase candidate response three shake quite pick keep return,0.04,0.44
